name,price,currency,image_url,image
PIANKOLINA plastelina glina polimerowa | 12 kolorów | zestaw | szpatułki do modelowania,10.3,zł,https://ecsmedia.pl/c/piankolina-plastelina-glina-polimerowa-12-kolorow-zestaw-szpatulki-do-modelowania-p-iext129922505.jpg,"=IMAGE(D2,4,100,100)"
Magiczna Piankolina Plastelina Masa Plastyczna 24X,45,zł,https://ecsmedia.pl/c/magiczna-piankolina-plastelina-masa-plastyczna-24x-p-iext133196230.jpg,"=IMAGE(D2,4,100,100)"
"Piankolina tęczowa, 6 kolorów",29.59,zł,https://ecsmedia.pl/c/piankolina-teczowa-6-kolorow-p-iext141398959.jpg,"=IMAGE(D2,4,100,100)"
"Masa piankowa, Piankolina świecąca, 6 kolorów",24.09,zł,https://ecsmedia.pl/c/masa-piankowa-piankolina-swiecaca-6-kolorow-p-iext142159052.jpg,"=IMAGE(D2,4,100,100)"
Magiczna Plastelina Masa Plastyczna Piankolina 60 Sztuk,36.9,zł,https://ecsmedia.pl/c/magiczna-plastelina-masa-plastyczna-piankolina-60-sztuk-p-iext136981961.jpg,"=IMAGE(D2,4,100,100)"
Zestaw Piankolina Plastelina Ciastolina Play 15El.,6.5,zł,https://ecsmedia.pl/c/zestaw-piankolina-plastelina-ciastolina-play-15el-p-iext137169636.jpg,"=IMAGE(D2,4,100,100)"
Piankolina Masa Plastyczna Piankowa 36Szt,18.9,zł,https://ecsmedia.pl/c/piankolina-masa-plastyczna-piankowa-36szt-p-iext137743415.jpg,"=IMAGE(D2,4,100,100)"
"Masa piankowa Piankolina, 6 kolorów",24.04,zł,https://ecsmedia.pl/c/masa-piankowa-piankolina-6-kolorow-p-iext141907795.jpg,"=IMAGE(D2,4,100,100)"
Piankolina Zestaw Glina Polimerowa Pianka x 96szt KRUZZEL,28.22,zł,https://ecsmedia.pl/c/piankolina-zestaw-glina-polimerowa-pianka-x-96szt-kruzzel-p-iext130520821.jpg,"=IMAGE(D2,4,100,100)"
PIANKOLINA PLASTELINA CIASTOLINA GLINA NOŻYKI 30el,11.99,zł,https://ecsmedia.pl/c/piankolina-plastelina-ciastolina-glina-nozyki-30el-p-iext137163235.jpg,"=IMAGE(D2,4,100,100)"
"Piankolina, 4 kolory",17.53,zł,https://ecsmedia.pl/c/piankolina-4-kolory-p-iext142120319.jpg,"=IMAGE(D2,4,100,100)"
MAGICZNA PIANKOLINA 24x15g kol z akcesoriami box | zestaw | foremki | narzędzia,30.21,zł,https://ecsmedia.pl/c/magiczna-piankolina-24x15g-kol-z-akcesoriami-box-zestaw-foremki-narzedzia-p-iext129889565.jpg,"=IMAGE(D2,4,100,100)"
Piankolina Zestaw Glina Polimerowa Pianka x 48szt KRUZZEL,16.05,zł,https://ecsmedia.pl/c/piankolina-zestaw-glina-polimerowa-pianka-x-48szt-kruzzel-p-iext130520639.jpg,"=IMAGE(D2,4,100,100)"
"Piankolina, 4 kostki",22.16,zł,https://ecsmedia.pl/c/piankolina-4-kostki-p-iext141560650.jpg,"=IMAGE(D2,4,100,100)"
"Piankolina, 8 kolorów",36.18,zł,https://ecsmedia.pl/c/piankolina-8-kolorow-p-iext141555871.jpg,"=IMAGE(D2,4,100,100)"
"Magiczna piankolina, 12x15g kol +3 radełka box",16.9,zł,https://ecsmedia.pl/c/magiczna-piankolina-12x15g-kol-3-radelka-box-p-iext129889551.jpg,"=IMAGE(D2,4,100,100)"
Piankolina (6 kolorów),29.59,zł,https://ecsmedia.pl/c/piankolina-6-kolorow-p-iext141571821.jpg,"=IMAGE(D2,4,100,100)"
Piankolina Masa Plastyczna Piankowa 24Szt,14.9,zł,https://ecsmedia.pl/c/piankolina-masa-plastyczna-piankowa-24szt-p-iext137743454.jpg,"=IMAGE(D2,4,100,100)"
"KIK, masa plastyczna piankolina z granulkami",16.9,zł,https://ecsmedia.pl/c/kik-masa-plastyczna-piankolina-z-granulkami-p-iext138232963.jpg,"=IMAGE(D2,4,100,100)"
"Piankolina, 4 kolory",20.73,zł,https://ecsmedia.pl/c/piankolina-4-kolory-p-iext141662885.jpg,"=IMAGE(D2,4,100,100)"
